,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
104,Mirante do Paranapanema,0,BR,1586662159,68,-22.29,-51.91,68.0,3.89
105,La Flèche,0,FR,1586662159,87,47.7,-0.08,53.6,3.36
106,Fort Nelson,20,CA,1586662160,27,58.81,-122.7,35.6,4.7
107,Shuangcheng,0,CN,1586662160,26,45.35,126.28,57.2,4.47
108,Fairbanks,90,US,1586662161,48,64.84,-147.72,46.4,3.36
109,São Filipe,35,CV,1586661984,75,14.9,-24.5,74.5,9.84
110,São João da Barra,100,BR,1586661993,87,-21.64,-41.05,71.51,12.17
111,Sri Aman,75,MY,1586662162,79,1.24,111.46,86.0,4.7
112,Dzidzantun,1,MX,1586662162,92,21.25,-89.05,80.01,15.57
113,Richards Bay,1,ZA,1586662162,86,-28.78,32.04,69.67,12.35
114,Laguna,1,US,1586662163,82,38.42,-121.42,62.01,8.05
115,Yangi Marg`ilon,66,UZ,1586662074,62,40.43,71.72,57.2,4.7
116,Talnakh,40,RU,1586662163,79,69.49,88.4,23.0,35.79
117,Odesa,0,UA,1586662163,41,46.48,30.73,42.8,11.18
118,Hearst,61,CA,1586662164,93,49.68,-83.67,29.93,7.4
119,Atuona,44,PF,1586661985,65,-9.8,-139.03,82.96,5.41
120,Souillac,40,MU,1586662072,83,-20.52,57.52,80.01,14.99
121,Isangel,20,VU,1586662164,55,-19.55,169.27,86.0,5.82
122,Vardø,48,NO,1586662164,94,70.37,31.11,26.17,10.33
123,Praia da Vitória,40,PT,1586662165,82,38.73,-27.07,60.8,11.41
124,Kismayo,54,SO,1586662165,78,-0.36,42.55,82.38,3.65
125,Borba,100,BR,1586662165,97,-4.39,-59.59,73.35,1.88
126,Ribeira Grande,0,PT,1586661940,74,38.52,-28.7,60.96,5.37
127,Nelidovo,42,RU,1586662166,93,56.22,32.78,29.77,4.03
128,Usman',75,RU,1586662166,63,52.05,39.73,30.2,15.66
129,Dingle,23,PH,1586662167,56,11.0,122.67,87.64,6.91
130,Jacqueville,95,CI,1586662167,88,5.21,-4.41,77.0,8.05
131,Mossamedes,31,AO,1586662167,66,-15.2,12.15,75.83,5.12
132,Hamilton,90,US,1586661878,40,39.18,-84.53,55.0,6.26
133,Bredasdorp,100,ZA,1586662167,64,-34.53,20.04,68.0,14.99
134,Krasnosel'kup,100,RU,1586662168,99,65.7,82.47,35.58,15.3
135,Bambous Virieux,40,MU,1586662168,83,-20.34,57.76,80.01,14.99
136,Kitui,74,KE,1586662168,72,-1.37,38.01,63.41,1.57
137,Laas,5,IT,1586662168,80,46.62,10.7,50.0,4.7
138,Narón,40,ES,1586662169,100,43.52,-8.15,54.0,1.12
139,Saint-Augustin,75,CA,1586662170,97,51.23,-58.65,27.97,6.42
140,Puerto Carreño,100,CO,1586662170,66,6.19,-67.49,82.69,5.53
141,North Bend,40,US,1586662170,81,43.41,-124.22,48.2,11.41
142,Ponto Novo,100,BR,1586662171,83,-10.86,-40.13,73.65,1.77
143,Saint-Paul,24,RE,1586662172,83,-21.01,55.27,75.0,11.41
144,Bad Wurzach,2,DE,1586662172,81,47.9,9.9,48.99,6.93
145,Mar del Plata,100,AR,1586662144,87,-38.0,-57.56,57.99,4.7
146,Thompson,90,CA,1586662172,78,55.74,-97.86,15.8,12.75
147,Longyearbyen,20,SJ,1586662173,69,78.22,15.64,-9.4,4.81
148,Kulhudhuffushi,15,MV,1586662173,65,6.62,73.07,85.89,9.4
149,George,99,ZA,1586662173,53,-33.96,22.46,71.6,13.87
150,Tasiilaq,99,GL,1586662173,58,65.61,-37.64,26.6,17.22
151,Flinders,0,AU,1586662175,30,-34.58,150.86,71.01,3.36
152,Kigoma,100,TZ,1586662175,62,-4.88,29.63,73.45,8.32
153,Nsanje,53,MW,1586662012,90,-16.92,35.26,65.52,2.59
154,Esperance,100,AU,1586662175,16,-33.87,121.9,95.0,20.8
155,Nome,90,US,1586662176,92,64.5,-165.41,30.2,10.29
156,Narsaq,100,GL,1586662176,33,60.92,-46.05,46.4,49.44
157,Nelson Bay,17,AU,1586662177,37,-32.72,152.15,70.0,6.93
158,Eenhana,33,NA,1586662177,94,-17.47,16.33,68.0,2.24
159,Cayenne,75,GF,1586662177,83,4.93,-52.33,78.8,8.41
160,Krasnovishersk,100,RU,1586662177,92,60.41,57.08,34.75,2.37
161,Stornoway,94,GB,1586662168,93,58.21,-6.39,42.01,6.93
162,Cabo San Lucas,40,MX,1586661891,60,22.89,-109.91,69.01,11.41
163,Pangnirtung,100,CA,1586661987,88,66.15,-65.71,25.32,8.16
164,Port Lincoln,100,AU,1586662178,57,-34.73,135.87,59.67,7.63
165,Bandarbeyla,48,SO,1586661908,74,9.49,50.81,80.92,3.94
166,George Town,20,MY,1586662048,63,5.41,100.34,91.4,2.24
167,Abnūb,0,EG,1586662179,40,27.27,31.15,59.23,6.51
168,Anadyr,90,RU,1586662179,84,64.75,177.48,8.6,13.42
169,Ürümqi,40,CN,1586662179,33,43.8,87.6,57.2,4.47
170,Río Gallegos,90,AR,1586662179,70,-51.62,-69.22,46.4,9.17
171,Manggar,60,ID,1586662180,63,-2.88,108.27,87.4,3.78
172,Provideniya,100,RU,1586661975,93,64.38,-173.3,32.54,6.29
173,Belaya Gora,100,RU,1586662180,98,68.53,146.42,30.79,6.91
174,Talcahuano,0,CL,1586662181,71,-36.72,-73.12,53.6,8.05
175,Nioro,2,GM,1586662181,70,13.35,-15.75,70.59,6.15
176,Yafran,57,LY,1586662181,41,32.06,12.53,53.01,8.21
177,Panji,58,ID,1586662181,60,-7.73,114.1,85.35,4.7
178,Saint-Joseph,19,RE,1586662182,73,-21.37,55.62,75.0,6.93
179,Safi,89,MA,1586662182,76,32.3,-9.24,62.56,11.01
180,Ketchikan,1,US,1586662182,56,55.34,-131.65,48.2,13.87
181,Hong Kong,7,HK,1586662143,43,22.29,114.16,73.0,16.11
182,Nzérékoré,53,GN,1586662183,82,7.76,-8.82,71.06,1.86
183,Sur,1,OM,1586662183,58,22.57,59.53,79.95,14.14
184,Husavik,90,IS,1586661896,74,66.04,-17.34,30.2,19.46
185,Petneháza,0,HU,1586662184,64,48.06,22.07,41.61,5.91
186,Taoudenni,0,ML,1586662184,15,22.68,-3.98,81.05,6.11
187,De-Kastri,99,RU,1586662184,73,51.47,140.78,39.67,9.37
188,Kodinsk,0,RU,1586662185,59,58.69,99.18,44.44,0.34
189,Champerico,35,GT,1586662185,71,14.3,-91.92,83.07,4.18
190,Santa Cruz de la Sierra,0,BO,1586662163,82,-17.8,-63.17,66.2,4.7
191,Lamu,100,KE,1586662186,85,-2.27,40.9,79.74,5.66
192,Cherskiy,80,RU,1586662186,96,68.75,161.3,23.36,15.97
193,Chul'man,95,RU,1586662019,68,56.85,124.91,38.89,6.87
194,Corn Island,69,NI,1586662187,82,12.17,-83.04,81.66,14.88
195,Touros,20,BR,1586662187,94,-5.2,-35.46,77.0,3.36
196,Agüimes,20,ES,1586662187,68,27.91,-15.45,64.4,17.22
197,Marsá Maţrūḩ,0,EG,1586662188,70,31.35,27.25,58.96,6.64
198,Kanhangad,6,IN,1586662188,70,12.31,75.11,84.83,4.05
199,Lompoc,90,US,1586661992,81,34.64,-120.46,61.0,9.17
200,Namatanai,98,PG,1586662189,71,-3.67,152.43,84.29,3.13
201,Rocha,0,UY,1586662189,86,-34.48,-54.33,55.47,4.43
202,Cidreira,23,BR,1586662191,71,-30.18,-50.21,64.42,3.24
203,Arraial do Cabo,79,BR,1586662191,76,-22.97,-42.03,72.41,5.82
204,Airai,97,TL,1586662191,69,-8.93,125.41,66.65,0.94
205,Shingū,75,JP,1586662191,87,33.73,135.98,51.8,5.82
206,Necochea,95,AR,1586662192,89,-38.55,-58.74,59.0,1.99
207,Lincoln,1,US,1586662156,71,40.8,-96.67,57.2,11.41
208,Bambanglipuro,87,ID,1586662009,63,-7.95,110.28,85.23,2.71
209,Ngunguru,98,NZ,1586662192,88,-35.62,174.5,66.99,11.01
210,Banjarmasin,40,ID,1586662192,83,-3.32,114.59,84.2,6.93
211,Rong Kwang,29,TH,1586662193,44,18.34,100.32,93.2,10.29
212,Turan,40,VN,1586661914,66,16.07,108.22,87.8,4.7
213,Lagoa,0,PT,1586662193,78,39.05,-27.98,60.85,10.2
214,Kenai,90,US,1586662193,55,60.55,-151.26,41.0,12.75
215,Tutóia,100,BR,1586662193,87,-2.76,-42.27,79.84,6.44
216,Klaksvík,99,FO,1586662194,69,62.23,-6.59,37.4,39.15
217,Plastun,0,RU,1586662194,61,44.76,136.29,43.93,4.21
218,Caravelas,3,BR,1586662194,86,-17.71,-39.25,78.01,5.01
219,La Paz,0,BO,1586662195,26,-16.5,-68.15,42.8,4.34
220,Coquimbo,76,CL,1586662195,82,-29.95,-71.34,59.0,3.36
221,Baghdad,20,IQ,1586662195,62,33.34,44.4,57.2,2.24
222,Mount Gambier,90,AU,1586662196,67,-37.83,140.77,57.2,9.17
223,Abong Mbang,100,CM,1586662196,69,3.98,13.18,67.17,0.49
224,Ambositra,97,MG,1586662196,65,-20.52,47.25,57.25,2.08
225,Saskylakh,0,RU,1586662011,91,71.92,114.08,4.95,7.52
226,Kahului,40,US,1586662197,61,20.89,-156.47,80.6,12.75
227,Whitehorse,5,CA,1586662194,32,60.72,-135.05,41.0,4.7
228,Ancud,0,CL,1586662197,100,-41.87,-73.82,37.4,4.7
229,Tigil',15,RU,1586661923,91,57.8,158.67,27.32,6.08
230,Westport,1,US,1586661931,33,41.14,-73.36,51.01,5.82
231,Soledade,0,BR,1586662198,78,-28.82,-52.51,50.02,5.57
232,Khasan,0,RU,1586662198,51,42.43,130.64,46.98,1.21
233,Seddon,90,AU,1586662199,54,-37.81,144.89,60.01,11.41
234,Bundaberg,40,AU,1586662005,26,-24.85,152.35,84.2,5.82
235,Praia,23,CV,1586662199,78,14.92,-23.51,73.4,8.05
236,Mimongo,100,GA,1586662199,82,-1.62,11.61,69.8,2.59
237,Half Moon Bay,90,US,1586661914,87,37.46,-122.43,57.0,3.36
238,Seoul,40,KR,1586662117,44,37.57,126.98,59.0,10.29
239,Atasū,100,KZ,1586662200,49,48.68,71.64,47.71,12.55
240,Departamento de Maldonado,24,UY,1586662201,87,-34.67,-54.92,59.0,5.82
241,Lüderitz,0,NA,1586662201,87,-26.65,15.16,57.2,8.05
242,Bengkulu,45,ID,1586661933,62,-3.8,102.27,88.03,3.83
243,Severo-Kuril'sk,70,RU,1586662202,95,50.68,156.12,31.15,7.27
244,Dudinka,40,RU,1586662202,79,69.41,86.18,23.0,35.79
245,Abu Kamal,0,SY,1586662202,52,34.45,40.92,59.7,10.56
246,Byron Bay,5,AU,1586662205,53,-28.65,153.62,75.0,14.99
247,Lappeenranta,81,FI,1586662164,74,61.06,28.19,30.2,4.7
248,Aklavik,20,CA,1586662205,53,68.22,-135.01,23.0,6.93
249,Faanui,8,PF,1586662206,73,-16.48,-151.75,82.62,13.2
250,Saint George,1,US,1586662049,34,37.1,-113.58,64.4,8.05
251,East London,100,ZA,1586662063,77,-33.02,27.91,69.8,9.17
252,Clarence Town,2,AU,1586662206,37,-32.58,151.78,71.01,6.93
253,Shaoyang,13,CN,1586662207,48,27.23,111.45,59.07,3.13
254,Koumac,79,NC,1586661915,67,-20.57,164.28,80.49,8.34
255,Adrar,0,MR,1586662208,21,20.5,-10.07,76.03,10.11
256,Helong,0,CN,1586662209,41,42.54,129.0,46.74,6.62
257,Tahe,0,CN,1586662209,30,52.33,124.73,58.26,5.68
258,Mangan,18,IN,1586662209,22,27.52,88.53,75.97,2.84
259,Kozhva,100,RU,1586662210,95,65.11,57.05,17.55,2.08
260,Iqaluit,90,CA,1586662210,79,63.75,-68.51,23.0,14.99
261,Preston,92,GB,1586661993,93,53.77,-2.72,51.01,3.36
262,Belyy Yar,0,RU,1586662210,52,53.6,91.39,42.8,11.18
263,Taksimo,100,RU,1586662211,53,56.34,114.88,41.34,8.66
264,Saldanha,100,ZA,1586662212,100,-33.01,17.94,59.0,13.87
265,Vila Franca do Campo,20,PT,1586662213,82,37.72,-25.43,57.2,11.41
266,Bathsheba,40,BB,1586661949,69,13.22,-59.52,80.6,16.11
267,Farah,100,AF,1586662214,34,32.5,62.5,71.15,10.74
268,Aquin,16,HT,1586662214,79,18.28,-73.4,80.47,0.94
269,Uşak Province,17,TR,1586662214,43,38.5,29.42,44.2,7.31
270,Alofi,99,NU,1586662215,69,-19.06,-169.92,82.4,12.75
271,Çorum Province,13,TR,1586662215,54,40.5,34.75,34.93,4.92
272,Olafsvik,51,IS,1586662215,88,64.89,-23.71,33.84,23.22
273,San Patricio,0,MX,1586662215,63,19.22,-104.7,75.4,11.83
274,Atar,0,MR,1586662215,22,20.52,-13.05,77.05,11.99
275,Centralia,1,US,1586662216,58,46.72,-122.95,55.4,3.4
276,Abu Dhabi,99,AE,1586661977,26,24.47,54.37,82.99,9.17
277,Sāvantvādi,0,IN,1586662216,55,15.9,73.82,85.23,2.95
278,Birao,84,CF,1586662217,43,10.28,22.79,74.05,3.36
279,Severnoye,86,RU,1586662218,83,56.35,78.36,36.21,6.82
280,Maţāy,0,EG,1586662218,66,28.42,30.78,59.2,9.35
281,Porteirinha,45,BR,1586662218,77,-15.74,-43.03,70.29,5.08
282,Hithadhoo,15,MV,1586661990,67,-0.6,73.08,84.51,7.9
283,Matagami,90,CA,1586662218,68,49.75,-77.63,26.6,8.05
284,Coyhaique,40,CL,1586662024,70,-45.58,-72.07,44.6,2.24
285,Izberbash,84,RU,1586662219,61,42.57,47.86,50.0,6.71
286,Kristinehamn,100,SE,1586662219,100,59.31,14.11,46.0,11.41
287,Oruzgan,100,AF,1586662219,36,32.83,66.0,56.89,6.87
288,Port Hardy,20,CA,1586662219,40,50.7,-127.42,51.8,8.05
289,Asău,14,RO,1586662220,57,46.43,26.4,37.0,3.36
290,Stabroek,0,BE,1586662220,87,51.33,4.37,55.0,1.12
291,Oktyabr'skoye,100,RU,1586662220,93,43.06,44.74,39.2,4.47
292,Mildura,0,AU,1586662220,42,-34.2,142.15,66.0,4.7
293,Baoning,4,CN,1586662221,36,25.34,110.03,64.4,13.42
294,Sheridan,90,US,1586662221,79,44.83,-106.92,24.8,9.17
295,Östersund,100,SE,1586662221,80,63.18,14.64,35.6,11.41
296,Pechenga,20,RU,1586662221,85,69.53,31.17,17.6,6.93
297,Bonavista,45,CA,1586662222,85,48.65,-53.11,33.01,13.0
298,Plettenberg Bay,78,ZA,1586662222,52,-34.05,23.37,65.79,9.22
299,Portland,20,US,1586661763,47,45.52,-122.68,57.2,9.17
300,Shibata,75,JP,1586662222,46,37.95,139.33,57.99,9.17
301,Manaus,100,BR,1586661686,100,-3.1,-60.02,75.2,2.24
302,Korla,41,CN,1586662223,15,41.76,86.15,65.52,2.44
303,Dutlwe,10,BW,1586662223,49,-23.98,23.9,64.81,5.57
304,Bourail,71,NC,1586662224,67,-21.57,165.48,79.5,1.99
305,Sumbuya,36,SL,1586662224,87,7.65,-11.96,77.92,1.77
306,Baracoa,0,CU,1586662224,81,20.35,-74.5,79.48,9.51
307,Havøysund,75,NO,1586662187,68,71.0,24.66,30.2,5.82
308,Prabumulih,83,ID,1586662225,65,-3.45,104.25,87.6,2.8
309,Roald,100,NO,1586661995,81,62.58,6.13,46.99,17.22
310,Salinas,90,US,1586661939,81,36.68,-121.66,57.99,6.93
311,Nuuk,100,GL,1586662226,90,64.18,-51.72,35.6,12.75
312,Raudeberg,100,NO,1586662226,93,61.99,5.14,44.6,27.51
313,Pasni,61,PK,1586662226,69,25.26,63.47,77.63,3.96
314,Agirish,98,RU,1586662226,91,61.92,63.02,32.9,2.64
315,Macamic,90,CA,1586662227,47,48.75,-79.0,35.6,6.93
316,Vorontsovka,3,RU,1586662227,83,50.61,40.35,32.58,15.84
317,Songyang,0,CN,1586662227,23,34.46,113.03,64.13,13.85
318,Sioux Lookout,90,CA,1586662228,74,50.1,-91.92,28.4,9.17
319,Yumbe,100,UG,1586662228,59,3.47,31.25,70.72,3.27
320,Point Pleasant,1,US,1586662228,39,40.08,-74.07,50.0,4.7
321,Kaa-Khem,57,RU,1586662228,53,51.68,94.73,41.56,0.85
322,Marsh Harbour,70,BS,1586662010,83,26.54,-77.06,73.33,20.24
323,Seminole,1,US,1586662124,73,28.71,-81.21,73.99,8.05
324,Belen,2,TR,1586662230,82,36.49,36.22,57.2,4.7
325,Mindelo,75,CV,1586662230,78,16.89,-24.98,71.6,17.22
326,Torbay,5,CA,1586662230,96,47.67,-52.73,33.01,21.92
327,Kaitangata,86,NZ,1586661948,65,-46.28,169.85,64.0,1.99
328,Kungurtug,96,RU,1586662231,47,50.6,97.52,44.02,1.45
329,Anloga,40,GH,1586662231,83,5.79,0.9,84.2,5.82
330,Vila do Maio,46,CV,1586662231,78,15.13,-23.22,73.4,8.05
331,Kirakira,94,SB,1586662009,72,-10.45,161.92,84.15,6.33
332,Lebu,0,CL,1586662232,74,-37.62,-73.65,51.85,13.51
333,Masuguru,100,TZ,1586662233,92,-11.37,38.42,70.07,3.85
334,Kabanjahe,75,ID,1586662234,66,3.1,98.49,89.6,6.93
335,Lábrea,97,BR,1586662234,94,-7.26,-64.8,75.16,0.65
336,Antalaha,18,MG,1586662022,83,-14.9,50.28,76.32,10.56
337,Wajima,75,JP,1586662000,35,37.4,136.9,55.4,14.99
338,Lavrentiya,97,RU,1586662235,96,65.58,-171.0,32.4,9.89
339,Broome,1,US,1586662236,86,42.25,-75.83,34.0,2.86
340,Ilulissat,86,GL,1586662236,68,69.22,-51.1,28.4,6.93
341,Antofagasta,75,CL,1586662082,72,-23.65,-70.4,66.2,5.82
342,Colac,99,AU,1586662126,88,-38.33,143.58,57.99,6.53
343,Oslo,90,NO,1586662237,93,59.91,10.75,41.0,11.41
344,Corralillo,6,CU,1586662237,80,22.98,-80.59,79.3,10.22
345,Tazovsky,86,RU,1586662237,96,67.47,78.7,14.11,7.85
346,Makkah al Mukarramah,39,SA,1586662197,41,21.43,39.83,66.38,6.71
347,Ajdabiya,0,LY,1586662239,57,30.76,20.23,57.25,7.45
348,Leningradskiy,85,RU,1586662239,91,69.38,178.42,18.28,4.36
349,Yulara,60,AU,1586662240,11,-25.24,130.99,89.6,6.93
350,Arica,90,CL,1586662240,68,-18.48,-70.3,71.6,5.82
351,Rawson,0,AR,1586662240,40,-43.3,-65.1,54.82,5.53
352,Viking,52,CA,1586662241,88,53.1,-111.77,14.27,7.58
353,Isla Mujeres,20,MX,1586662241,78,21.23,-86.73,80.6,10.29
354,Rincon,1,US,1586661957,63,32.3,-81.24,68.0,5.82
355,Skibbereen,75,IE,1586662241,87,51.55,-9.27,48.2,8.05
356,Labuhan,49,ID,1586662009,68,-6.88,112.21,85.69,5.1
357,Hofn,5,IS,1586661957,89,64.25,-15.21,30.72,20.24
358,Cabinda,97,AO,1586662242,86,-5.55,12.2,80.31,5.17
359,Galle,11,LK,1586662242,74,6.04,80.22,82.81,3.15
360,Jumla,0,NP,1586662018,13,29.27,82.18,60.57,2.13
361,Baniachang,0,BD,1586662243,31,24.52,91.37,90.0,4.7
362,Santiago del Estero,19,AR,1586662243,58,-27.8,-64.26,63.59,8.28
363,Sola,95,VU,1586662243,72,-13.88,167.55,81.48,11.88
364,Kutum,100,SD,1586662243,18,14.2,24.67,63.66,7.4
365,Kapuskasing,75,CA,1586662244,64,49.42,-82.43,35.6,5.82
366,Gambēla,100,ET,1586662244,60,8.25,34.58,77.34,2.62
367,Tymovskoye,97,RU,1586662244,76,50.85,142.66,37.31,6.46
368,Fortuna,90,US,1586662244,87,40.6,-124.16,52.0,8.05
369,Jieshi,0,CN,1586662245,54,22.81,115.83,69.01,3.0
370,Elko,75,US,1586662245,32,41.0,-115.5,53.6,4.7
371,Khani,90,GE,1586662245,100,41.96,42.96,44.6,4.7
372,Murgab,75,TM,1586662245,100,37.5,61.97,57.2,11.41
373,Kasongo-Lunda,100,CD,1586662246,79,-6.47,16.82,71.1,0.83
374,Selma,20,US,1586662020,63,36.57,-119.61,66.2,2.13
